name;telefon;email;website;link_status;plz;ort;strasse;angebot;koordinaten
Società Pallanuoto Bissone;;;https://www.spbissone.ch/;200;;Bissone;;Schwimmverein (Wettkampf, Kat. A) – Wasserball;
Sporting Bulle Natation;;;https://spbulle.ch/;200;;Bulle;;Schwimmverein (Wettkampf, Kat. A);
St. Maurice-Natation;;;http://www.st-maurice.ch/;200;;St-Maurice;;Schwimmverein (Wettkampf, Kat. A);
Startgemeinschaft Berner Oberland;;;https://swim-beo.ch/;200;;Thun;;Schwimmverein (Wettkampf, Kat. A);
Swim Regio Solothurn;;;https://srso.ch/;200;;Solothurn;;Schwimmverein (Wettkampf, Kat. A);
Swim Team Biel-Bienne;;;https://www.stbb.ch/;200;;Biel/Bienne;;Schwimmverein (Wettkampf, Kat. A);
Swim Team Lucerne;;;https://www.swimteam-lucerne.ch/;200;;Luzern;;Schwimmverein (Wettkampf, Kat. A);
Swimhohlic GmbH;;;https://swimhohlic.ch/;000;;Burgdorf;;Schwimmschule / Breitensport (Kat. B);
Swimming School Moby Dick;;;https://www.mobydickschool.ch/;200;;Lugano;;Schwimmschule / Breitensport (Kat. B);
Swiss Alumni Swimming;;;http://www.swiss-alumni-swimming.ch/;200;;Killwangen;;Schwimmverein (Wettkampf, Kat. A);
Terre Sainte Natation;;;https://www.terresaintenatation.com/;403;;Founex;;Schwimmverein (Wettkampf, Kat. A);
Turnerschaft Dornbirn;;;http://www.ts-dornbirn.at/;200;;Dornbirn (AT);;Assoziierter Verein;
Turrita Nuoto;;;https://www.turritanuoto.ch/;200;;Bellinzona;;Schwimmverein (Wettkampf, Kat. A);
Verein Zürcher Wasserspringer;;;https://www.vzw.ch/;200;;Zürich;;Schwimmverein (Wettkampf, Kat. A) – Wasserspringen;
Vernier Aquatics;;;http://www.dauphins-vernier.ch/;200;;Genève;;Schwimmverein (Wettkampf, Kat. A);
Vevey Natation;;;http://www.vevey-natation.ch/;200;;Vevey;;Schwimmverein (Wettkampf, Kat. A);
WASICO GmbH;;;http://www.wasico.ch/;000;;Häusernmoos im Emmental;;Schwimmschule / Breitensport (Kat. B);
Wasser Sport Club Dietikon;;;https://www.wscd.ch/;200;;Dietikon;;Schwimmverein (Wettkampf, Kat. A);
Wasserballklub Stadtmannschaft Zürich;;;https://smzuerich.com/;200;;Zürich;;Schwimmverein (Wettkampf, Kat. A) – Wasserball;
Wasserballklub Thun;;;http://wkthun.ch/;200;;Thun;;Schwimmverein (Wettkampf, Kat. A) – Wasserball;
Wassersport Bäretswil;;;https://www.ws-baeretswil.ch/;200;;Grüt (Gossau ZH);;Schwimmverein (Wettkampf, Kat. A);
Wassersport-Club Kloten;;;https://wsck.ch/;200;;Kloten;;Schwimmverein (Wettkampf, Kat. A);
Wassersportclub Albis;;;https://www.wsca.ch/;200;;Ottenbach;;Schwimmverein (Wettkampf, Kat. A);
Wassersportclub Delfin Birsfelden;;;https://www.wassersportclub.ch/;200;;Birsfelden;;Schwimmverein (Wettkampf, Kat. A);
Wassersportverein Basel;;;https://wsvbasel.ch/;000;;Basel;;Schwimmverein (Wettkampf, Kat. A);
WaterPolo Winterthur;;;https://www.wpwin.ch/;200;;Winterthur;;Schwimmverein (Wettkampf, Kat. A) – Wasserball;
YPS Swim Team Gamprin;;;https://www.schwimmen.li/;200;;Gamprin (FL);;Assoziierter Verein;
